fid,auc,go,caption,prot,text,class
19421,0.6970000267028809,catalytic activity,metabolism · channel · transferase · redox,True,False,protein-only
19504,0.7310000061988831,catalytic activity,metabolism · secret,True,True,co-firing
19518,0.7549999952316284,catalytic activity,channel · metabolism · transferase · atpase,True,False,protein-only
19592,0.6639999747276306,regulation of response to stimulus,junction · chromat · cytoskeleton · neuron · develop · adhesion,True,False,protein-only
19704,0.6880000233650208,catalytic activity,phosphatase · develop,True,False,protein-only
19970,0.7360000014305115,catalytic activity,kinase · phosphatase,True,True,co-firing
20024,0.75,catalytic activity,lipid · transport,True,False,protein-only
20456,0.6970000267028809,nucleic acid binding,chromat · neuron · polymerase · junction,True,False,protein-only
20591,0.7059999704360962,catalytic activity,ubiquitin,True,False,protein-only
20684,0.6980000138282776,catalytic activity,chromat,True,False,protein-only
20879,0.7910000085830688,catalytic activity,metabolism,True,False,protein-only
21208,0.7070000171661377,signal transduction,receptor · extracellular · neuron · cytoskeleton · synap · junction,True,False,protein-only
21229,0.7630000114440918,catalytic activity,metabolism · transferase · chromat · mitochondrion,True,True,co-firing
21286,0.7670000195503235,nucleic acid binding,nucleus · nuclear · transcription · chromat · polymerase · translation,True,True,co-firing
21380,0.6679999828338623,nucleic acid binding,kinase · chromat · cytoskeleton,True,False,protein-only
21396,0.6639999747276306,negative regulation of metabolic process,nucleus · nuclear · develop · chromat · cytoskeleton · adhesion,True,False,protein-only
21450,0.6700000166893005,catalytic activity,chromat · DNA-binding · polymerase,True,False,protein-only
21535,0.6800000071525574,positive regulation of metabolic process,kinase · phosphatase,True,False,protein-only
21855,0.6660000085830688,catalytic activity,atpase · chaperone,True,True,co-firing
22127,0.7139999866485596,nucleic acid binding,nucleus · nuclear · transcription · chromat · polymerase · DNA-binding,True,False,protein-only
22224,0.6840000152587891,catalytic activity,transport · phosphatase · redox · reductase · proton,True,False,protein-only
22361,0.7099999785423279,catalytic activity,develop,True,False,protein-only
22375,0.7799999713897705,catalytic activity,channel · metabolism · redox · ribosom,True,False,protein-only
22440,0.675000011920929,catalytic activity,channel · metabolism,True,False,protein-only
22648,0.7080000042915344,catalytic activity,chromat · DNA-binding,True,False,protein-only
22731,0.7960000038146973,catalytic activity,proton,True,False,protein-only
22910,0.7039999961853027,regulation of gene expression,nucleus · nuclear · transcription · chromat · develop · DNA-binding,True,False,protein-only
