feature,go_term,held_auc,raw_best,rand_best,margin,coherence,reasoning_caption
33216,oxidoreductase activity,0.772,0.838,0.841,-0.069,0.0,transferase · phosphatase · develop
33572,transcription regulator activity,0.772,0.781,0.81,-0.039,0.25,nucleus · nuclear · chromat
7036,kinase activity,0.771,0.842,0.864,-0.093,0.05,
9379,kinase activity,0.771,0.842,0.864,-0.093,0.05,phosphatase · transferase
9399,kinase activity,0.771,0.842,0.864,-0.093,0.25,
9524,kinase activity,0.771,0.842,0.864,-0.093,0.0,
20684,kinase activity,0.771,0.842,0.864,-0.092,0.4,chromat
23995,kinase activity,0.771,0.842,0.864,-0.093,0.0,develop · translation
26570,kinase activity,0.771,0.842,0.864,-0.093,0.0,channel · metabolism · phosphatase · kinase · transferase
28865,oxidoreductase activity,0.771,0.838,0.841,-0.07,0.0,channel · redox
1158,kinase activity,0.77,0.842,0.864,-0.094,0.35,
13133,transcription regulator activity,0.77,0.781,0.81,-0.04,0.05,
17899,kinase activity,0.77,0.842,0.864,-0.094,0.0,
27293,oxidoreductase activity,0.77,0.838,0.841,-0.071,0.0,
33903,oxidoreductase activity,0.77,0.838,0.841,-0.071,0.0,
38482,transcription regulator activity,0.77,0.781,0.81,-0.04,0.15,
6155,oxidoreductase activity,0.769,0.838,0.841,-0.072,0.0,
9075,kinase activity,0.769,0.842,0.864,-0.094,0.0,
10868,oxidoreductase activity,0.769,0.838,0.841,-0.072,0.0,
11076,transcription regulator activity,0.769,0.781,0.81,-0.041,0.05,nucleus · nuclear · transcription · kinase · chromat · polymerase
37532,kinase activity,0.769,0.842,0.864,-0.094,0.0,
393,kinase activity,0.768,0.842,0.864,-0.095,0.05,
17419,oxidoreductase activity,0.768,0.838,0.841,-0.073,0.1,channel · metabolism
39344,transcription regulator activity,0.768,0.781,0.81,-0.042,0.5,
7191,kinase activity,0.767,0.842,0.864,-0.097,0.0,
12451,oxidoreductase activity,0.767,0.838,0.841,-0.075,0.1,metabolism · transferase · redox · mitochondrion · proton · oxidase
21075,transcription regulator activity,0.767,0.781,0.81,-0.043,0.05,
25656,transcription regulator activity,0.767,0.781,0.81,-0.043,0.3,
26913,kinase activity,0.767,0.842,0.864,-0.097,0.0,kinase
36943,transcription regulator activity,0.767,0.781,0.81,-0.043,0.0,nuclear · chromat · develop
11664,kinase activity,0.766,0.842,0.864,-0.098,0.1,
14494,kinase activity,0.766,0.842,0.864,-0.097,0.2,
38490,transcription regulator activity,0.766,0.781,0.81,-0.044,0.05,nucleus · nuclear · develop · cytoskeleton · chromat
8028,transmembrane transporter activity,0.765,0.757,0.811,-0.046,0.7,
29691,transcription regulator activity,0.765,0.781,0.81,-0.045,0.15,
34359,oxidoreductase activity,0.765,0.838,0.841,-0.076,0.0,
38106,transcription regulator activity,0.765,0.781,0.81,-0.045,0.0,
39837,kinase activity,0.765,0.842,0.864,-0.099,0.45,
1483,transcription regulator activity,0.764,0.781,0.81,-0.046,0.1,nucleus · actin · kinase · cytoskeleton · develop · chromat
33529,kinase activity,0.764,0.842,0.864,-0.1,0.0,
12982,kinase activity,0.763,0.842,0.864,-0.101,0.0,
17239,oxidoreductase activity,0.763,0.838,0.841,-0.078,0.05,metabolism · redox · proton · reductase
