feature_id,go_term_protein,go_auc_protein,xmodal_caption,band_class,log_frequency,max_activation
6129,organic substance biosynthetic process,0.666,cytoskeleton,protein-heavy,-4.606256,0.53046876
38490,positive regulation of metabolic process,0.666,nucleus · nuclear · develop · cytoskeleton · chromat,protein-heavy,-1.7598753,3.2353213
25752,regulation of nucleobase-containing compound metabolic process,0.665,transcription · nucleus · nuclear · chromat · develop · DNA-binding,protein-heavy,-2.9948933,0.5481344
29199,nucleic acid binding,0.665,transcription · nucleus · nuclear · develop · chromat · polymerase,protein-heavy,-1.7430087,6.8839664
487,catalytic activity,0.665,ubiquitin,protein-heavy,-1.7654827,0.8260101
6008,catalytic activity,0.665,metabolism · proton,protein-heavy,-2.6078124,1.6955575
29094,nucleic acid binding,0.665,nucleus · nuclear · transcription · actin · chromat · polymerase,protein-heavy,-2.2208219,1.592452
199,negative regulation of cellular process,0.664,zinc-finger · chromat · ubiquitin,protein-heavy,-2.0711048,2.1653519
21396,negative regulation of metabolic process,0.664,nucleus · nuclear · develop · chromat · cytoskeleton · adhesion,protein-heavy,-2.1728024,0.9574266
19592,regulation of response to stimulus,0.664,junction · chromat · cytoskeleton · neuron · develop · adhesion,protein-heavy,-2.3120685,1.3636174
17278,plasma membrane,0.664,extracellular · receptor · adhesion · neuron · synap · junction,protein-heavy,-2.5189877,4.3206477
26294,catalytic activity,0.664,redox,protein-heavy,-1.4930763,1.0679907
16346,catalytic activity,0.663,lipid,protein-heavy,-1.3503916,1.0684344
26623,catalytic activity,0.663,redox,protein-heavy,-3.1192057,0.75730103
18481,catalytic activity,0.663,kinase · phosphatase,protein-heavy,-2.5389674,1.8337653
23740,catalytic activity,0.663,nucleus · DNA-binding · chromat · polymerase,protein-heavy,-2.0825255,1.565713
40635,catalytic activity,0.663,kinase · phosphatase,protein-heavy,-2.3064733,6.2163367
36735,protein metabolic process,0.662,endoplasmic reticulum,protein-heavy,-1.7832909,1.4901975
11849,catalytic activity,0.662,neuron,protein-heavy,-1.0277059,11.616205
27771,protein metabolic process,0.662,receptor · extracellular · neuron · secret · adhesion · synap,protein-heavy,-2.2219636,0.969865
25513,nucleic acid binding,0.662,nuclear · nucleus · transcription · develop · chromat · polymerase,protein-heavy,-2.0282125,0.97443384
35824,negative regulation of cellular process,0.661,actin · cytoskeleton · develop · neuron · vesicl · cortex,protein-heavy,-1.9351009,1.170343
25264,nucleic acid binding,0.661,nucleus · transcription · nuclear · chromat · polymerase · translation,protein-heavy,-1.682583,1.0875211
39574,positive regulation of metabolic process,0.66,nucleus · kinase · chromat · cytoskeleton,protein-heavy,-2.640256,1.8064119
