feature_id,band_class,fusion_class,go_label,go_auc,crossmodal_omega,crossmodal_pair,protein_frac,go_frac,text_frac,activation_freq,mean_activation,max_activation,n_proteins_active
9237,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0021,6.1093,22.4684,282
9241,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0003,2.6568,4.2534,190
9243,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0779,5.0612,26.7468,300
9244,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0017,3.2003,6.0969,278
9246,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0006,4.3789,5.8877,300
9247,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0003,6.0163,7.6867,300
9248,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,2.2239,4.1662,17
9251,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0013,3.8942,10.3642,278
9254,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0005,8.7469,18.5389,300
9255,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0042,6.313,17.8739,293
9256,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0025,6.21,26.8312,300
9257,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,1.3577,1.4037,5
9258,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,1e-04,2.4796,3.147,49
9259,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0128,3.6013,17.6098,300
9026,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0125,0.9875,0.0115,4.7174,15.6539,300
9286,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,2.3951,2.9354,3
9285,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,1e-04,2.6886,4.2305,60
9283,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0012,5.5133,7.1999,300
9280,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0022,4.3317,13.7395,222
9279,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,1e-04,19.0971,21.9941,113
9278,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0032,5.8253,18.445,267
9277,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0048,6.1506,27.1312,279
9260,text-heavy,unimodal,none,0.0,0.0636,protein-text,0.0054,0.0,0.9946,0.0621,3.3803,7.0367,300
9272,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0091,4.7966,14.2476,299
9271,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0006,4.9215,6.5152,300
9269,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0072,3.4311,8.8944,300
9268,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,3.2266,3.2266,1
9267,mixed,unimodal,none,0.0,0.0433,none,0.4986,0.4986,0.0027,0.2142,35.5855,41.5464,300
9264,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,2.8285,3.4106,11
9263,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0014,5.9517,11.8495,300
9262,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,1e-04,2.4986,4.9181,54
9273,text-heavy,unimodal,none,0.0,0.0,none,0.0039,0.0,0.9961,0.0074,3.5237,6.0204,300
9199,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0003,10.9528,11.1569,300
9200,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,3.014,3.014,1
9201,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0018,9.3956,34.5864,258
9202,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0033,5.6041,21.6137,299
9203,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0021,3.7676,9.3465,295
9204,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.004,4.7437,14.0559,300
9205,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,2.46,3.4184,9
9206,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0014,9.6541,48.952,208
9208,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0007,2.8134,5.0412,234
9209,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0025,2.9634,7.5154,288
9210,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0041,6.0491,17.932,294
9211,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0005,0.9995,0.024,7.2912,25.801,300
9212,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0003,5.9172,8.3537,300
9213,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,2.0897,2.3786,8
9214,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0024,2.8706,4.9744,298
9235,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0003,7.1711,13.0602,297
9234,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0003,1.4935,1.6089,299
9232,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0106,4.4979,16.69,300
9231,text-heavy,unimodal,none,0.0,0.0,none,0.0009,0.0,0.9991,0.0055,2.4964,4.7091,300
9230,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0198,0.9802,0.0059,5.1865,23.0997,300
9229,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0008,3.913,7.5001,299
9228,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0077,4.2272,16.481,298
9226,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0034,6.7653,22.8699,289
9215,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0008,4.9653,13.4535,49
9224,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0052,2.8815,4.7153,299
9223,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0031,4.402,19.0675,299
9221,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,3.2497,4.2198,15
9220,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0008,2.3905,4.9246,259
9219,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0042,4.8405,14.7862,300
9218,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0005,3.1469,6.3974,239
9217,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0003,2.0265,3.9886,177
9216,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,2.5529,2.6158,2
9225,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0016,3.5992,6.3347,289
9333,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0153,3.3965,6.41,300
9334,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0106,5.0368,33.5338,300
9335,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,2.085,2.164,5
9336,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.007,4.7777,16.2973,300
9339,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0039,7.1786,28.4832,300
9340,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0053,4.9734,22.2386,300
9341,text-heavy,unimodal,none,0.0,0.0,none,0.0003,0.0,0.9997,0.0165,3.4666,5.8523,300
9342,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0578,0.9422,0.0009,11.2991,21.671,300
9343,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0002,2.4696,3.709,134
9344,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0015,15.2683,35.6089,300
9345,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.003,5.5121,19.6886,298
9346,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0059,6.0974,22.2191,300
9348,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0004,2.9996,4.0782,143
9349,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.001,3.492,11.2259,274
9350,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0023,7.5948,24.7391,300
9287,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,2.6124,2.7946,2
9375,text-heavy,unimodal,none,0.0,0.0,none,0.0097,0.0,0.9903,0.0074,3.5406,5.6736,300
9373,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0003,14.6411,15.6736,300
9372,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0018,5.3338,7.0443,300
9371,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,2.3705,2.9747,4
9370,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0021,11.8214,30.7865,171
9368,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,2.2237,3.4857,46
9367,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,3.366,3.5483,2
9351,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,0.8067,0.8278,10
9365,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0406,4.659,23.2419,300
9364,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0061,5.4953,26.5266,295
9363,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0007,3.2761,7.7609,281
9358,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0016,10.5427,26.8613,300
9356,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0,2.6791,4.3494,19
9355,text-heavy,unimodal,none,0.0,0.0,none,0.0,0.0,1.0,0.0019,6.9819,22.518,297
